row_id,base_model,variant_id,model,barrier_id,barrier_label,condition,source,scenario,bias_type,anchor_level,iteration,timestamp,expected_text,id_known,text_matches
ANCHOR_EXAMPLE_gemma3_generalist_04_b5_20250815_003312,gemma3,gemma3_generalist,generalist,11,high costs of DC solutions,ANCHOR,llm,ANCHOR,ANCHOR_EXAMPLE,,4.0,20250815_003312,high costs of DC solutions,True,
ANCHOR_EXAMPLE_gemma3_generalist_05_b1_20250815_004358,gemma3,gemma3_generalist,generalist,1,"power losses, quality and safety issues",ANCHOR,llm,ANCHOR,ANCHOR_EXAMPLE,,5.0,20250815_004358,"power losses, quality and safety issues",True,
ANCHOR_EXAMPLE_gemma3_generalist_05_b2_20250815_004358,gemma3,gemma3_generalist,generalist,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)",ANCHOR,llm,ANCHOR,ANCHOR_EXAMPLE,,5.0,20250815_004358,"uncertain utility interaction (net metering, utility ownership, and agreed standards)",True,
ANCHOR_EXAMPLE_gemma3_generalist_05_b3_20250815_004358,gemma3,gemma3_generalist,generalist,8,misconception and lack of knowledge leads to lengthy/expensive design and permit process,ANCHOR,llm,ANCHOR,ANCHOR_EXAMPLE,,5.0,20250815_004358,misconception and lack of knowledge leads to lengthy/expensive design and permit process,True,
ANCHOR_EXAMPLE_gemma3_generalist_05_b4_20250815_004358,gemma3,gemma3_generalist,generalist,10,uncertain regulatory roadmap,ANCHOR,llm,ANCHOR,ANCHOR_EXAMPLE,,5.0,20250815_004358,uncertain regulatory roadmap,True,
ANCHOR_EXAMPLE_gemma3_generalist_05_b5_20250815_004358,gemma3,gemma3_generalist,generalist,11,high costs of DC solutions,ANCHOR,llm,ANCHOR,ANCHOR_EXAMPLE,,5.0,20250815_004358,high costs of DC solutions,True,
ANCHOR_EXAMPLE_gemma3_generalist_06_b1_20250815_004816,gemma3,gemma3_generalist,generalist,1,"power losses, quality and safety issues",ANCHOR,llm,ANCHOR,ANCHOR_EXAMPLE,,6.0,20250815_004816,"power losses, quality and safety issues",True,
ANCHOR_EXAMPLE_gemma3_generalist_06_b4_20250815_004816,gemma3,gemma3_generalist,generalist,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)",ANCHOR,llm,ANCHOR,ANCHOR_EXAMPLE,,6.0,20250815_004816,"uncertain utility interaction (net metering, utility ownership, and agreed standards)",True,
ANCHOR_EXAMPLE_gemma3_generalist_06_b2_20250815_004816,gemma3,gemma3_generalist,generalist,5,lack of pilot projects,ANCHOR,llm,ANCHOR,ANCHOR_EXAMPLE,,6.0,20250815_004816,lack of pilot projects,True,
ANCHOR_EXAMPLE_gemma3_generalist_06_b3_20250815_004816,gemma3,gemma3_generalist,generalist,6,public perception of DC and readiness to 'champion' installations from DC projects,ANCHOR,llm,ANCHOR,ANCHOR_EXAMPLE,,6.0,20250815_004816,public perception of DC and readiness to 'champion' installations from DC projects,True,
ANCHOR_EXAMPLE_gemma3_generalist_06_b5_20250815_004816,gemma3,gemma3_generalist,generalist,11,high costs of DC solutions,ANCHOR,llm,ANCHOR,ANCHOR_EXAMPLE,,6.0,20250815_004816,high costs of DC solutions,True,
ANCHOR_EXAMPLE_gemma3_generalist_07_b1_20250815_005114,gemma3,gemma3_generalist,generalist,1,"power losses, quality and safety issues",ANCHOR,llm,ANCHOR,ANCHOR_EXAMPLE,,7.0,20250815_005114,"power losses, quality and safety issues",True,
ANCHOR_EXAMPLE_gemma3_generalist_07_b2_20250815_005114,gemma3,gemma3_generalist,generalist,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)",ANCHOR,llm,ANCHOR,ANCHOR_EXAMPLE,,7.0,20250815_005114,"uncertain utility interaction (net metering, utility ownership, and agreed standards)",True,
ANCHOR_EXAMPLE_gemma3_generalist_07_b3_20250815_005114,gemma3,gemma3_generalist,generalist,8,misconception and lack of knowledge leads to lengthy/expensive design and permit process,ANCHOR,llm,ANCHOR,ANCHOR_EXAMPLE,,7.0,20250815_005114,misconception and lack of knowledge leads to lengthy/expensive design and permit process,True,
ANCHOR_EXAMPLE_gemma3_generalist_07_b4_20250815_005114,gemma3,gemma3_generalist,generalist,10,uncertain regulatory roadmap,ANCHOR,llm,ANCHOR,ANCHOR_EXAMPLE,,7.0,20250815_005114,uncertain regulatory roadmap,True,
ANCHOR_EXAMPLE_gemma3_generalist_07_b5_20250815_005114,gemma3,gemma3_generalist,generalist,11,high costs of DC solutions,ANCHOR,llm,ANCHOR,ANCHOR_EXAMPLE,,7.0,20250815_005114,high costs of DC solutions,True,
ANCHOR_EXAMPLE_gemma3_generalist_08_b1_20250815_005417,gemma3,gemma3_generalist,generalist,1,"power losses, quality and safety issues",ANCHOR,llm,ANCHOR,ANCHOR_EXAMPLE,,8.0,20250815_005417,"power losses, quality and safety issues",True,
ANCHOR_EXAMPLE_gemma3_generalist_08_b2_20250815_005417,gemma3,gemma3_generalist,generalist,5,lack of pilot projects,ANCHOR,llm,ANCHOR,ANCHOR_EXAMPLE,,8.0,20250815_005417,lack of pilot projects,True,
ANCHOR_EXAMPLE_gemma3_generalist_08_b3_20250815_005417,gemma3,gemma3_generalist,generalist,6,public perception of DC and readiness to 'champion' installations from DC projects,ANCHOR,llm,ANCHOR,ANCHOR_EXAMPLE,,8.0,20250815_005417,public perception of DC and readiness to 'champion' installations from DC projects,True,
ANCHOR_EXAMPLE_gemma3_generalist_08_b4_20250815_005417,gemma3,gemma3_generalist,generalist,10,uncertain regulatory roadmap,ANCHOR,llm,ANCHOR,ANCHOR_EXAMPLE,,8.0,20250815_005417,uncertain regulatory roadmap,True,
ANCHOR_EXAMPLE_gemma3_generalist_08_b5_20250815_005417,gemma3,gemma3_generalist,generalist,11,high costs of DC solutions,ANCHOR,llm,ANCHOR,ANCHOR_EXAMPLE,,8.0,20250815_005417,high costs of DC solutions,True,
ANCHOR_EXAMPLE_gemma3_generalist_09_b1_20250815_005739,gemma3,gemma3_generalist,generalist,1,"power losses, quality and safety issues",ANCHOR,llm,ANCHOR,ANCHOR_EXAMPLE,,9.0,20250815_005739,"power losses, quality and safety issues",True,
ANCHOR_EXAMPLE_gemma3_generalist_09_b4_20250815_005739,gemma3,gemma3_generalist,generalist,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)",ANCHOR,llm,ANCHOR,ANCHOR_EXAMPLE,,9.0,20250815_005739,"uncertain utility interaction (net metering, utility ownership, and agreed standards)",True,
ANCHOR_EXAMPLE_gemma3_generalist_09_b7_20250815_005739,gemma3,gemma3_generalist,generalist,7,incompatibility of DC systems components,ANCHOR,llm,ANCHOR,ANCHOR_EXAMPLE,,9.0,20250815_005739,incompatibility of DC systems components,True,
ANCHOR_EXAMPLE_gemma3_generalist_09_b8_20250815_005739,gemma3,gemma3_generalist,generalist,8,misconception and lack of knowledge leads to lengthy/expensive design and permit process,ANCHOR,llm,ANCHOR,ANCHOR_EXAMPLE,,9.0,20250815_005739,misconception and lack of knowledge leads to lengthy/expensive design and permit process,True,
ANCHOR_EXAMPLE_gemma3_generalist_09_b11_20250815_005739,gemma3,gemma3_generalist,generalist,11,high costs of DC solutions,ANCHOR,llm,ANCHOR,ANCHOR_EXAMPLE,,9.0,20250815_005739,high costs of DC solutions,True,
ANCHOR_HIGH_NUM_gemma3_generalist_00_b1_20250815_013723,gemma3,gemma3_generalist,generalist,1,"power losses, quality and safety issues",ANCHOR,llm,ANCHOR,ANCHOR_NUM_HIGH,high,0.0,20250815_013723,"power losses, quality and safety issues",True,
ANCHOR_HIGH_NUM_gemma3_generalist_00_b2_20250815_013723,gemma3,gemma3_generalist,generalist,5,lack of pilot projects,ANCHOR,llm,ANCHOR,ANCHOR_NUM_HIGH,high,0.0,20250815_013723,lack of pilot projects,True,
ANCHOR_HIGH_NUM_gemma3_generalist_00_b3_20250815_013723,gemma3,gemma3_generalist,generalist,6,public perception of DC and readiness to 'champion' installations from DC projects,ANCHOR,llm,ANCHOR,ANCHOR_NUM_HIGH,high,0.0,20250815_013723,public perception of DC and readiness to 'champion' installations from DC projects,True,
ANCHOR_HIGH_NUM_gemma3_generalist_00_b4_20250815_013723,gemma3,gemma3_generalist,generalist,10,uncertain regulatory roadmap,ANCHOR,llm,ANCHOR,ANCHOR_NUM_HIGH,high,0.0,20250815_013723,uncertain regulatory roadmap,True,
ANCHOR_HIGH_NUM_gemma3_generalist_00_b5_20250815_013723,gemma3,gemma3_generalist,generalist,11,high costs of DC solutions,ANCHOR,llm,ANCHOR,ANCHOR_NUM_HIGH,high,0.0,20250815_013723,high costs of DC solutions,True,
ANCHOR_HIGH_NUM_gemma3_generalist_01_b1_20250815_014214,gemma3,gemma3_generalist,generalist,1,"power losses, quality and safety issues",ANCHOR,llm,ANCHOR,ANCHOR_NUM_HIGH,high,1.0,20250815_014214,"power losses, quality and safety issues",True,
ANCHOR_HIGH_NUM_gemma3_generalist_01_b4_20250815_014214,gemma3,gemma3_generalist,generalist,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)",ANCHOR,llm,ANCHOR,ANCHOR_NUM_HIGH,high,1.0,20250815_014214,"uncertain utility interaction (net metering, utility ownership, and agreed standards)",True,
ANCHOR_HIGH_NUM_gemma3_generalist_01_b7_20250815_014214,gemma3,gemma3_generalist,generalist,7,incompatibility of DC systems components,ANCHOR,llm,ANCHOR,ANCHOR_NUM_HIGH,high,1.0,20250815_014214,incompatibility of DC systems components,True,
ANCHOR_HIGH_NUM_gemma3_generalist_01_b8_20250815_014214,gemma3,gemma3_generalist,generalist,8,misconception and lack of knowledge leads to lengthy/expensive design and permit process,ANCHOR,llm,ANCHOR,ANCHOR_NUM_HIGH,high,1.0,20250815_014214,misconception and lack of knowledge leads to lengthy/expensive design and permit process,True,
ANCHOR_HIGH_NUM_gemma3_generalist_01_b11_20250815_014214,gemma3,gemma3_generalist,generalist,11,high costs of DC solutions,ANCHOR,llm,ANCHOR,ANCHOR_NUM_HIGH,high,1.0,20250815_014214,high costs of DC solutions,True,
ANCHOR_HIGH_NUM_gemma3_generalist_02_b1_20250815_014539,gemma3,gemma3_generalist,generalist,1,"power losses, quality and safety issues",ANCHOR,llm,ANCHOR,ANCHOR_NUM_HIGH,high,2.0,20250815_014539,"power losses, quality and safety issues",True,
ANCHOR_HIGH_NUM_gemma3_generalist_02_b2_20250815_014539,gemma3,gemma3_generalist,generalist,5,lack of pilot projects,ANCHOR,llm,ANCHOR,ANCHOR_NUM_HIGH,high,2.0,20250815_014539,lack of pilot projects,True,
ANCHOR_HIGH_NUM_gemma3_generalist_02_b3_20250815_014539,gemma3,gemma3_generalist,generalist,6,public perception of DC and readiness to 'champion' installations from DC projects,ANCHOR,llm,ANCHOR,ANCHOR_NUM_HIGH,high,2.0,20250815_014539,public perception of DC and readiness to 'champion' installations from DC projects,True,
ANCHOR_HIGH_NUM_gemma3_generalist_02_b4_20250815_014539,gemma3,gemma3_generalist,generalist,10,uncertain regulatory roadmap,ANCHOR,llm,ANCHOR,ANCHOR_NUM_HIGH,high,2.0,20250815_014539,uncertain regulatory roadmap,True,
ANCHOR_HIGH_NUM_gemma3_generalist_02_b5_20250815_014539,gemma3,gemma3_generalist,generalist,11,high costs of DC solutions,ANCHOR,llm,ANCHOR,ANCHOR_NUM_HIGH,high,2.0,20250815_014539,high costs of DC solutions,True,
ANCHOR_HIGH_NUM_gemma3_generalist_03_b1_20250815_015022,gemma3,gemma3_generalist,generalist,1,"power losses, quality and safety issues",ANCHOR,llm,ANCHOR,ANCHOR_NUM_HIGH,high,3.0,20250815_015022,"power losses, quality and safety issues",True,
ANCHOR_HIGH_NUM_gemma3_generalist_03_b4_20250815_015022,gemma3,gemma3_generalist,generalist,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)",ANCHOR,llm,ANCHOR,ANCHOR_NUM_HIGH,high,3.0,20250815_015022,"uncertain utility interaction (net metering, utility ownership, and agreed standards)",True,
ANCHOR_HIGH_NUM_gemma3_generalist_03_b7_20250815_015022,gemma3,gemma3_generalist,generalist,7,incompatibility of DC systems components,ANCHOR,llm,ANCHOR,ANCHOR_NUM_HIGH,high,3.0,20250815_015022,incompatibility of DC systems components,True,
ANCHOR_HIGH_NUM_gemma3_generalist_03_b8_20250815_015022,gemma3,gemma3_generalist,generalist,8,misconception and lack of knowledge leads to lengthy/expensive design and permit process,ANCHOR,llm,ANCHOR,ANCHOR_NUM_HIGH,high,3.0,20250815_015022,misconception and lack of knowledge leads to lengthy/expensive design and permit process,True,
ANCHOR_HIGH_NUM_gemma3_generalist_03_b11_20250815_015022,gemma3,gemma3_generalist,generalist,11,high costs of DC solutions,ANCHOR,llm,ANCHOR,ANCHOR_NUM_HIGH,high,3.0,20250815_015022,high costs of DC solutions,True,
ANCHOR_HIGH_NUM_gemma3_generalist_04_b1_20250815_015441,gemma3,gemma3_generalist,generalist,1,"power losses, quality and safety issues",ANCHOR,llm,ANCHOR,ANCHOR_NUM_HIGH,high,4.0,20250815_015441,"power losses, quality and safety issues",True,
ANCHOR_HIGH_NUM_gemma3_generalist_04_b4_20250815_015441,gemma3,gemma3_generalist,generalist,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)",ANCHOR,llm,ANCHOR,ANCHOR_NUM_HIGH,high,4.0,20250815_015441,"uncertain utility interaction (net metering, utility ownership, and agreed standards)",True,
ANCHOR_HIGH_NUM_gemma3_generalist_04_b7_20250815_015441,gemma3,gemma3_generalist,generalist,7,incompatibility of DC systems components,ANCHOR,llm,ANCHOR,ANCHOR_NUM_HIGH,high,4.0,20250815_015441,incompatibility of DC systems components,True,
ANCHOR_HIGH_NUM_gemma3_generalist_04_b8_20250815_015441,gemma3,gemma3_generalist,generalist,8,misconception and lack of knowledge leads to lengthy/expensive design and permit process,ANCHOR,llm,ANCHOR,ANCHOR_NUM_HIGH,high,4.0,20250815_015441,misconception and lack of knowledge leads to lengthy/expensive design and permit process,True,
ANCHOR_HIGH_NUM_gemma3_generalist_04_b11_20250815_015441,gemma3,gemma3_generalist,generalist,11,high costs of DC solutions,ANCHOR,llm,ANCHOR,ANCHOR_NUM_HIGH,high,4.0,20250815_015441,high costs of DC solutions,True,
ANCHOR_HIGH_NUM_gemma3_generalist_05_b1_20250815_015802,gemma3,gemma3_generalist,generalist,1,"power losses, quality and safety issues",ANCHOR,llm,ANCHOR,ANCHOR_NUM_HIGH,high,5.0,20250815_015802,"power losses, quality and safety issues",True,
ANCHOR_HIGH_NUM_gemma3_generalist_05_b2_20250815_015802,gemma3,gemma3_generalist,generalist,5,lack of pilot projects,ANCHOR,llm,ANCHOR,ANCHOR_NUM_HIGH,high,5.0,20250815_015802,lack of pilot projects,True,
ANCHOR_HIGH_NUM_gemma3_generalist_05_b3_20250815_015802,gemma3,gemma3_generalist,generalist,6,public perception of DC and readiness to 'champion' installations from DC projects,ANCHOR,llm,ANCHOR,ANCHOR_NUM_HIGH,high,5.0,20250815_015802,public perception of DC and readiness to 'champion' installations from DC projects,True,
ANCHOR_HIGH_NUM_gemma3_generalist_05_b4_20250815_015802,gemma3,gemma3_generalist,generalist,10,uncertain regulatory roadmap,ANCHOR,llm,ANCHOR,ANCHOR_NUM_HIGH,high,5.0,20250815_015802,uncertain regulatory roadmap,True,
ANCHOR_HIGH_NUM_gemma3_generalist_05_b5_20250815_015802,gemma3,gemma3_generalist,generalist,11,high costs of DC solutions,ANCHOR,llm,ANCHOR,ANCHOR_NUM_HIGH,high,5.0,20250815_015802,high costs of DC solutions,True,
ANCHOR_HIGH_NUM_gemma3_generalist_06_b1_20250815_020136,gemma3,gemma3_generalist,generalist,1,"power losses, quality and safety issues",ANCHOR,llm,ANCHOR,ANCHOR_NUM_HIGH,high,6.0,20250815_020136,"power losses, quality and safety issues",True,
ANCHOR_HIGH_NUM_gemma3_generalist_06_b4_20250815_020136,gemma3,gemma3_generalist,generalist,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)",ANCHOR,llm,ANCHOR,ANCHOR_NUM_HIGH,high,6.0,20250815_020136,"uncertain utility interaction (net metering, utility ownership, and agreed standards)",True,
ANCHOR_HIGH_NUM_gemma3_generalist_06_b7_20250815_020136,gemma3,gemma3_generalist,generalist,7,incompatibility of DC systems components,ANCHOR,llm,ANCHOR,ANCHOR_NUM_HIGH,high,6.0,20250815_020136,incompatibility of DC systems components,True,
ANCHOR_HIGH_NUM_gemma3_generalist_06_b8_20250815_020136,gemma3,gemma3_generalist,generalist,8,misconception and lack of knowledge leads to lengthy/expensive design and permit process,ANCHOR,llm,ANCHOR,ANCHOR_NUM_HIGH,high,6.0,20250815_020136,misconception and lack of knowledge leads to lengthy/expensive design and permit process,True,
ANCHOR_HIGH_NUM_gemma3_generalist_06_b11_20250815_020136,gemma3,gemma3_generalist,generalist,11,high costs of DC solutions,ANCHOR,llm,ANCHOR,ANCHOR_NUM_HIGH,high,6.0,20250815_020136,high costs of DC solutions,True,
ANCHOR_HIGH_NUM_gemma3_generalist_07_b1_20250815_020448,gemma3,gemma3_generalist,generalist,1,"power losses, quality and safety issues",ANCHOR,llm,ANCHOR,ANCHOR_NUM_HIGH,high,7.0,20250815_020448,"power losses, quality and safety issues",True,
ANCHOR_HIGH_NUM_gemma3_generalist_07_b2_20250815_020448,gemma3,gemma3_generalist,generalist,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)",ANCHOR,llm,ANCHOR,ANCHOR_NUM_HIGH,high,7.0,20250815_020448,"uncertain utility interaction (net metering, utility ownership, and agreed standards)",True,
ANCHOR_HIGH_NUM_gemma3_generalist_07_b3_20250815_020448,gemma3,gemma3_generalist,generalist,6,public perception of DC and readiness to 'champion' installations from DC projects,ANCHOR,llm,ANCHOR,ANCHOR_NUM_HIGH,high,7.0,20250815_020448,public perception of DC and readiness to 'champion' installations from DC projects,True,
ANCHOR_HIGH_NUM_gemma3_generalist_07_b4_20250815_020448,gemma3,gemma3_generalist,generalist,8,misconception and lack of knowledge leads to lengthy/expensive design and permit process,ANCHOR,llm,ANCHOR,ANCHOR_NUM_HIGH,high,7.0,20250815_020448,misconception and lack of knowledge leads to lengthy/expensive design and permit process,True,
ANCHOR_HIGH_NUM_gemma3_generalist_07_b5_20250815_020448,gemma3,gemma3_generalist,generalist,11,high costs of DC solutions,ANCHOR,llm,ANCHOR,ANCHOR_NUM_HIGH,high,7.0,20250815_020448,high costs of DC solutions,True,
ANCHOR_HIGH_NUM_gemma3_generalist_08_b1_20250815_021454,gemma3,gemma3_generalist,generalist,1,"power losses, quality and safety issues",ANCHOR,llm,ANCHOR,ANCHOR_NUM_HIGH,high,8.0,20250815_021454,"power losses, quality and safety issues",True,
ANCHOR_HIGH_NUM_gemma3_generalist_08_b2_20250815_021454,gemma3,gemma3_generalist,generalist,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)",ANCHOR,llm,ANCHOR,ANCHOR_NUM_HIGH,high,8.0,20250815_021454,"uncertain utility interaction (net metering, utility ownership, and agreed standards)",True,
ANCHOR_HIGH_NUM_gemma3_generalist_08_b3_20250815_021454,gemma3,gemma3_generalist,generalist,6,public perception of DC and readiness to 'champion' installations from DC projects,ANCHOR,llm,ANCHOR,ANCHOR_NUM_HIGH,high,8.0,20250815_021454,public perception of DC and readiness to 'champion' installations from DC projects,True,
ANCHOR_HIGH_NUM_gemma3_generalist_08_b4_20250815_021454,gemma3,gemma3_generalist,generalist,8,misconception and lack of knowledge leads to lengthy/expensive design and permit process,ANCHOR,llm,ANCHOR,ANCHOR_NUM_HIGH,high,8.0,20250815_021454,misconception and lack of knowledge leads to lengthy/expensive design and permit process,True,
ANCHOR_HIGH_NUM_gemma3_generalist_08_b5_20250815_021454,gemma3,gemma3_generalist,generalist,11,high costs of DC solutions,ANCHOR,llm,ANCHOR,ANCHOR_NUM_HIGH,high,8.0,20250815_021454,high costs of DC solutions,True,
ANCHOR_HIGH_NUM_gemma3_generalist_09_b1_20250815_021807,gemma3,gemma3_generalist,generalist,1,"power losses, quality and safety issues",ANCHOR,llm,ANCHOR,ANCHOR_NUM_HIGH,high,9.0,20250815_021807,"power losses, quality and safety issues",True,
ANCHOR_HIGH_NUM_gemma3_generalist_09_b4_20250815_021807,gemma3,gemma3_generalist,generalist,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)",ANCHOR,llm,ANCHOR,ANCHOR_NUM_HIGH,high,9.0,20250815_021807,"uncertain utility interaction (net metering, utility ownership, and agreed standards)",True,
ANCHOR_HIGH_NUM_gemma3_generalist_09_b7_20250815_021807,gemma3,gemma3_generalist,generalist,7,incompatibility of DC systems components,ANCHOR,llm,ANCHOR,ANCHOR_NUM_HIGH,high,9.0,20250815_021807,incompatibility of DC systems components,True,
ANCHOR_HIGH_NUM_gemma3_generalist_09_b8_20250815_021807,gemma3,gemma3_generalist,generalist,8,misconception and lack of knowledge leads to lengthy/expensive design and permit process,ANCHOR,llm,ANCHOR,ANCHOR_NUM_HIGH,high,9.0,20250815_021807,misconception and lack of knowledge leads to lengthy/expensive design and permit process,True,
ANCHOR_HIGH_NUM_gemma3_generalist_09_b11_20250815_021807,gemma3,gemma3_generalist,generalist,11,high costs of DC solutions,ANCHOR,llm,ANCHOR,ANCHOR_NUM_HIGH,high,9.0,20250815_021807,high costs of DC solutions,True,
